officer_id	sheet_branch	sheet_region
6786	BERGER	JADE
230		
2024	OYINGBO	GARNET
1185	SANGO	SAPPHIRE
1680	KAM 1	
2013		
1652	AYOBO 2	SAPPHIRE
5655		
4756	IKEJA	GARNET
1998	IKOTUN 2	EMERALD
6919	ELEKO	HILANDER
1263	MILE 12	RUBY
4886	AJEGUNLE	EMERALD
1637	AYOBO 1	SAPPHIRE
6072		
1976	MUSHIN	SAPPHIRE
3496		
5505		
2074	TEJUOSHO	GARNET
2858	IYANA IPAJA	OPAL
1970	SANGO	SAPPHIRE
1316	BENSON	RUBY
5901	AGRIC	RUBY
6142		
6798	BERGER	JADE
4195	OSHODI	EMERALD
6891		
4786		
1049	OSHODI 2	EMERALD
2149	JAKANDE	JADE
1103	ILEEPO	SAPPHIRE
6620	APONGBON	HILANDER
1969	IKOTUN 2	EMERALD
1497	IYANA IPAJA 2	OPAL
1186	FESTAC 1	RUBY
6371	IDIMU/IKOTUN	OPAL
1588	IYANA IPAJA	OPAL
1450	IYANA IPAJA	OPAL
1638	JAKANDE	JADE
1143	SAPPHIRE	VERTICAL LEAD
1498	IYANA IPAJA	OPAL
6755	AGBADO	SAPPHIRE
5396		
1043	FESTAC 1	RUBY
1394	ILEEPO	SAPPHIRE
6615		
4918		
1211	ALABA	CRYSTAL
2027	AWOYAYA	HILANDER
6564	IYANA IBA	CRYSTAL
4883	FESTAC 1	RUBY
1501	IKOTUN 1	OPAL
4514	IBAFO	
2021	SABO	GARNET
2023	AYOBO 2	SAPPHIRE
1564		
6332	AJAH	HILANDER
7032	SANGO	SAPPHIRE
2036	AYOBO 2	SAPPHIRE
5831		
4571	AYOBO 1	SAPPHIRE
5218	IBAFO	JADE
1431	BENSON	RUBY
1604	AYOBO 2	SAPPHIRE
5576		
6908	KAM3	
6982		
1589	YABA	GARNET
1621	MOWE	OPAL
6753		
6706		
5546	BERGER	JADE
2017	APONGBON	HILANDER
1615	IBAFO	JADE
1282		
1412		
1428	FESTAC 1	RUBY
1513	YABA	GARNET
1650	AYOBO 1	SAPPHIRE
2325	OYINGBO	RUBY
1550	AGRIC	RUBY
3983	ALABA	CRYSTAL
5347	KAM 1	
1092	MOWE	OPAL
6785	AGRIC	RUBY
5353	APONGBON	HILANDER
1962	OSHODI	EMERALD
7011	KAM1	
4507	IBAFO	JADE
1397	AJEGUNLE1	EMERALD
6658	EPE	HILANDER
7031		
1453	OSHODI	EMERALD
1481	FESTAC	RUBY
1141	YABA	GARNET
6765		
2050	BENSON	RUBY
7012		
4342		
3466	APONGBON	HILANDER
6602	ILE EPO	SAPPHIRE
5244	SABO	GARNET
2051	BERGER	JADE
1216	CRYSTAL	VERTICAL LEAD
6348	IKOTUN 2	EMERALD
1127	SANGO	SAPPHIRE
1486	IDIMU	OPAL
1571	AGBADO	SAPPHIRE
1648	KETU/MILE 12	RUBY
1641	APONGBON	HILANDER
1351	SANGO	SAPPHIRE
1605	MOWE	OPAL
6969		
5259		
6571	IJEGUN	JADE
5873		
2006	BENSON	RUBY
5204		
5742		
7142	ALABA	CRYSTAL
1054	AGRIC	RUBY
4622	IBAFO	JADE
1183	SABO	GARNET
6025	APONGBON	HILANDER
2154	MUSHIN	SAPPHIRE
1531		
6496		
4881	ELEKO	HILANDER
3828		
4876		
2659	IKORODU BENSON	RUBY
5709	TEJUOSHO	GARNET
1607	MOWE	OPAL
